County,est_icu_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Madera,3,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]"
Marin,10,"4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [4, 5]","4 [4, 5]","5 [4, 6]","5 [4, 7]","5 [4, 7]","5 [4, 8]","5 [3, 8]","5 [3, 9]","6 [4, 10]","6 [4, 11]","7 [4, 13]","7 [4, 14]","8 [4, 15]","8 [5, 17]","9 [5, 19]","10 [5, 21]","10 [5, 23]","11 [6, 25]","12 [6, 28]","13 [6, 31]","13 [7, 34]","14 [7, 37]","15 [7, 41]","17 [8, 46]","18 [8, 50]","19 [8, 56]","20 [9, 61]","22 [9, 68]"
Mendocino,3,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 5]","2 [1, 6]","3 [1, 7]","3 [1, 7]","3 [1, 8]","3 [2, 9]","4 [2, 10]","4 [2, 11]","4 [2, 12]","4 [2, 13]"
Merced,7,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]"
Monterey,13,"4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [4, 5]","5 [4, 6]","5 [4, 6]","5 [4, 7]","5 [4, 7]","5 [4, 8]","5 [3, 9]","6 [4, 9]","6 [4, 10]","6 [4, 12]","7 [4, 13]","7 [4, 14]","8 [5, 16]","8 [5, 17]","9 [5, 19]","10 [5, 21]","10 [6, 23]","11 [6, 26]","12 [6, 28]","13 [6, 31]","14 [7, 34]","15 [7, 38]","16 [7, 42]","17 [8, 46]","18 [8, 51]","19 [9, 56]","21 [9, 62]","22 [9, 69]"
Napa,20,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","3 [1, 6]","3 [2, 6]","3 [2, 7]","3 [2, 8]","3 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","5 [2, 12]","5 [2, 14]","5 [2, 15]","6 [3, 17]","6 [3, 18]","7 [3, 20]"
Nevada,0,"10 [10, 10]","11 [10, 11]","11 [11, 12]","12 [11, 14]","12 [11, 15]","13 [10, 16]","13 [10, 18]","13 [10, 19]","14 [10, 21]","14 [9, 23]","15 [9, 25]","16 [10, 28]","17 [10, 31]","18 [11, 34]","20 [12, 38]","21 [12, 42]","23 [13, 46]","24 [13, 51]","26 [14, 56]","28 [15, 62]","30 [16, 69]","32 [16, 76]","34 [17, 84]","37 [18, 92]","39 [19, 102]","42 [20, 112]","45 [21, 124]","48 [22, 137]","52 [23, 151]","56 [24, 167]","60 [25, 185]"
Orange,132,"32 [32, 32]","33 [32, 35]","35 [33, 38]","36 [33, 42]","37 [33, 46]","39 [32, 50]","40 [32, 55]","41 [31, 60]","42 [29, 65]","43 [28, 71]","46 [29, 78]","49 [31, 87]","53 [32, 96]","56 [34, 106]","61 [36, 117]","65 [37, 129]","70 [39, 142]","75 [41, 157]","80 [43, 173]","86 [46, 191]","92 [48, 211]","98 [50, 233]","105 [53, 257]","113 [55, 284]","121 [58, 314]","130 [61, 347]","139 [64, 383]","149 [68, 422]","160 [71, 466]","171 [75, 515]","183 [78, 569]"
Placer,6,"7 [7, 7]","8 [7, 8]","8 [7, 9]","8 [7, 9]","8 [7, 10]","9 [7, 11]","9 [7, 12]","9 [7, 13]","10 [7, 15]","10 [6, 16]","10 [7, 18]","11 [7, 20]","12 [7, 22]","13 [8, 24]","14 [8, 26]","15 [8, 29]","16 [9, 32]","17 [9, 36]","18 [10, 39]","19 [10, 43]","21 [11, 48]","22 [11, 53]","24 [12, 58]","26 [13, 64]","27 [13, 71]","29 [14, 78]","31 [15, 87]","34 [15, 96]","36 [16, 106]","39 [17, 117]","42 [18, 129]"
Riverside,84,"21 [21, 21]","22 [22, 23]","23 [22, 25]","24 [22, 28]","25 [22, 30]","26 [21, 33]","27 [21, 36]","27 [20, 40]","28 [20, 43]","28 [18, 47]","31 [19, 52]","33 [20, 58]","35 [21, 64]","38 [23, 70]","40 [24, 78]","43 [25, 86]","46 [26, 95]","50 [27, 104]","53 [29, 115]","57 [30, 127]","61 [32, 141]","65 [33, 155]","70 [35, 171]","75 [37, 189]","81 [39, 209]","86 [41, 231]","93 [43, 255]","99 [45, 281]","106 [47, 310]","114 [50, 343]","122 [52, 378]"
Sacramento,71,"14 [14, 14]","15 [14, 15]","15 [14, 17]","16 [14, 18]","16 [14, 20]","17 [14, 22]","17 [14, 24]","18 [13, 26]","18 [13, 28]","19 [12, 31]","20 [13, 34]","21 [13, 38]","23 [14, 42]","25 [15, 46]","26 [15, 51]","28 [16, 56]","30 [17, 62]","32 [18, 68]","35 [19, 75]","37 [20, 83]","40 [21, 92]","43 [22, 101]","46 [23, 112]","49 [24, 124]","53 [25, 137]","56 [27, 151]","60 [28, 166]","65 [29, 184]","69 [31, 203]","74 [32, 224]","80 [34, 247]"
San Bernardino,111,"22 [22, 22]","23 [22, 24]","24 [22, 26]","25 [22, 28]","25 [22, 31]","26 [22, 34]","27 [21, 37]","28 [21, 41]","29 [20, 44]","29 [19, 48]","31 [20, 53]","33 [21, 59]","36 [22, 65]","38 [23, 72]","41 [24, 79]","44 [25, 87]","47 [27, 97]","51 [28, 107]","54 [29, 118]","58 [31, 130]","62 [32, 143]","67 [34, 158]","72 [36, 175]","77 [38, 193]","82 [40, 213]","88 [42, 235]","94 [44, 260]","101 [46, 287]","109 [48, 317]","116 [51, 350]","125 [53, 386]"
San Diego,152,"45 [45, 45]","47 [46, 49]","49 [46, 54]","51 [46, 59]","53 [46, 64]","55 [45, 70]","56 [45, 77]","58 [43, 84]","59 [42, 92]","60 [39, 100]","65 [41, 111]","69 [43, 122]","74 [45, 135]","80 [48, 149]","85 [50, 165]","92 [53, 182]","98 [55, 201]","105 [58, 221]","113 [61, 245]","121 [64, 270]","129 [68, 298]","139 [71, 329]","149 [75, 363]","159 [78, 401]","171 [82, 443]","183 [86, 489]","196 [91, 540]","210 [95, 596]","225 [100, 658]","242 [105, 727]","259 [111, 802]"
San Francisco,64,"15 [15, 15]","16 [15, 16]","16 [15, 18]","17 [15, 20]","18 [15, 22]","18 [15, 24]","19 [15, 26]","19 [14, 28]","20 [14, 31]","20 [13, 34]","22 [14, 37]","23 [14, 41]","25 [15, 45]","27 [16, 50]","29 [17, 55]","31 [18, 61]","33 [19, 67]","35 [19, 74]","38 [20, 82]","40 [21, 90]","43 [23, 100]","46 [24, 110]","50 [25, 121]","53 [26, 134]","57 [27, 148]","61 [29, 163]","66 [30, 180]","70 [32, 199]","75 [34, 220]","81 [35, 243]","87 [37, 268]"
San Joaquin,10,"7 [7, 7]","7 [7, 7]","7 [7, 8]","8 [7, 9]","8 [7, 10]","8 [7, 11]","9 [7, 12]","9 [7, 13]","9 [6, 14]","9 [6, 15]","10 [6, 17]","10 [7, 18]","11 [7, 20]","12 [7, 23]","13 [8, 25]","14 [8, 27]","15 [8, 30]","16 [9, 33]","17 [9, 37]","18 [10, 41]","20 [10, 45]","21 [11, 50]","22 [11, 55]","24 [12, 61]","26 [12, 67]","28 [13, 74]","30 [14, 82]","32 [14, 90]","34 [15, 100]","37 [16, 110]","39 [17, 121]"
San Luis Obispo,8,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
San Mateo,27,"19 [19, 19]","20 [19, 21]","21 [19, 23]","22 [19, 25]","22 [19, 27]","23 [19, 30]","24 [19, 33]","25 [18, 36]","25 [18, 39]","26 [17, 42]","27 [17, 47]","29 [18, 52]","31 [19, 57]","34 [20, 63]","36 [21, 70]","39 [22, 77]","41 [23, 85]","44 [25, 94]","48 [26, 103]","51 [27, 114]","55 [29, 126]","59 [30, 139]","63 [32, 154]","67 [33, 170]","72 [35, 187]","77 [37, 207]","83 [38, 228]","89 [40, 252]","95 [42, 278]","102 [45, 307]","109 [47, 339]"
Santa Barbara,14,"7 [7, 7]","7 [7, 8]","8 [7, 8]","8 [7, 9]","8 [7, 10]","9 [7, 11]","9 [7, 12]","9 [7, 13]","9 [7, 14]","9 [6, 16]","10 [6, 17]","11 [7, 19]","12 [7, 21]","13 [8, 23]","13 [8, 26]","14 [8, 29]","15 [9, 32]","17 [9, 35]","18 [10, 38]","19 [10, 42]","20 [11, 47]","22 [11, 52]","23 [12, 57]","25 [12, 63]","27 [13, 70]","29 [14, 77]","31 [14, 85]","33 [15, 94]","35 [16, 103]","38 [17, 114]","41 [17, 126]"
Santa Clara,80,"52 [52, 52]","55 [53, 57]","57 [53, 63]","59 [54, 69]","61 [53, 75]","64 [53, 82]","66 [52, 90]","67 [50, 98]","69 [48, 107]","70 [46, 117]","75 [48, 129]","81 [50, 142]","86 [53, 157]","93 [55, 173]","99 [58, 191]","106 [61, 211]","114 [64, 233]","122 [68, 257]","131 [71, 284]","140 [75, 314]","151 [78, 347]","161 [82, 383]","173 [87, 422]","185 [91, 466]","199 [96, 515]","213 [101, 569]","228 [106, 628]","245 [111, 693]","262 [117, 765]","281 [123, 845]","301 [129, 933]"
Santa Cruz,2,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]"
Shasta,15,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
Solano,21,"5 [5, 5]","5 [5, 6]","6 [5, 6]","6 [5, 7]","6 [5, 7]","6 [5, 8]","7 [5, 9]","7 [5, 10]","7 [5, 11]","7 [5, 12]","8 [5, 13]","8 [5, 14]","9 [5, 16]","9 [6, 17]","10 [6, 19]","11 [6, 21]","11 [6, 23]","12 [7, 26]","13 [7, 28]","14 [7, 31]","15 [8, 35]","16 [8, 38]","17 [9, 42]","19 [9, 47]","20 [10, 51]","21 [10, 57]","23 [11, 63]","24 [11, 69]","26 [12, 76]","28 [12, 84]","30 [13, 93]"
Sonoma,17,"3 [3, 3]","3 [3, 3]","3 [3, 3]","3 [3, 3]","3 [3, 4]","3 [3, 4]","3 [3, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","4 [2, 6]","4 [2, 7]","4 [3, 8]","5 [3, 9]","5 [3, 9]","5 [3, 10]","6 [3, 12]","6 [3, 13]","6 [4, 14]","7 [4, 15]","7 [4, 17]","8 [4, 19]","9 [4, 21]","9 [4, 23]","10 [5, 25]","11 [5, 28]","11 [5, 31]","12 [5, 34]","13 [6, 38]","14 [6, 42]","15 [6, 46]"
Stanislaus,16,"6 [6, 6]","6 [6, 6]","6 [6, 7]","7 [6, 8]","7 [6, 8]","7 [6, 9]","7 [6, 10]","8 [6, 11]","8 [5, 12]","8 [5, 13]","8 [5, 14]","9 [6, 16]","10 [6, 18]","10 [6, 19]","11 [7, 21]","12 [7, 24]","13 [7, 26]","14 [8, 29]","15 [8, 32]","16 [8, 35]","17 [9, 39]","18 [9, 43]","19 [10, 47]","21 [10, 52]","22 [11, 57]","24 [11, 63]","25 [12, 70]","27 [12, 77]","29 [13, 85]","31 [14, 94]","34 [14, 104]"
Tulare,9,"2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [2, 3]","2 [2, 3]","2 [2, 3]","2 [1, 4]","2 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","3 [2, 7]","4 [2, 8]","4 [2, 8]","4 [2, 9]","5 [2, 10]","5 [3, 11]","5 [3, 12]","6 [3, 14]","6 [3, 15]","6 [3, 17]","7 [3, 18]","7 [3, 20]","8 [4, 22]","8 [4, 25]","9 [4, 27]","10 [4, 30]"
Tuolumne,2,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
Ventura,16,"9 [9, 9]","9 [9, 10]","10 [9, 11]","10 [9, 12]","10 [9, 13]","11 [9, 14]","11 [9, 15]","11 [9, 17]","12 [8, 18]","12 [8, 20]","13 [8, 22]","14 [9, 24]","15 [9, 27]","16 [9, 29]","17 [10, 32]","18 [10, 36]","19 [11, 40]","21 [11, 44]","22 [12, 48]","24 [13, 53]","26 [13, 59]","27 [14, 65]","29 [15, 72]","31 [15, 79]","34 [16, 87]","36 [17, 96]","39 [18, 106]","41 [19, 117]","44 [20, 130]","48 [21, 143]","51 [22, 158]"
Yolo,2,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 8]","3 [1, 9]","3 [2, 10]","4 [2, 11]","4 [2, 12]"
Yuba,7,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","3 [1, 5]","3 [1, 6]","3 [2, 7]","3 [2, 7]","3 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","4 [2, 12]","5 [2, 13]","5 [2, 15]","5 [2, 16]","6 [2, 18]"
