County,est_acute_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
San Joaquin,51,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 6]","0 [0, 12]","0 [0, 19]","0 [0, 26]","0 [0, 34]","0 [0, 43]","0 [0, 52]","0 [0, 63]","0 [0, 75]","0 [0, 88]"
San Luis Obispo,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,168,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 12]","0 [0, 31]","0 [0, 51]","0 [0, 74]","0 [0, 99]","0 [0, 127]","0 [0, 158]","0 [0, 192]"
Santa Barbara,51,,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 6]","0 [0, 12]","0 [0, 19]","0 [0, 26]","0 [0, 34]","0 [0, 43]","0 [0, 53]","0 [0, 64]","0 [0, 76]"
Santa Clara,395,,,,,,,,,,,,,,,,,,,,,,"0 [0, 40]","0 [0, 86]","0 [0, 136]","0 [0, 191]","0 [0, 252]","0 [0, 319]","0 [0, 394]","0 [0, 476]","0 [0, 567]","0 [0, 667]"
Santa Cruz,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 9]"
Sonoma,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 10]"
Tulare,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,43,,,,,,,,,,,,,,,,,,"0 [0, 4]","0 [0, 9]","0 [0, 14]","0 [0, 20]","0 [0, 27]","0 [0, 34]","0 [0, 42]","0 [0, 51]","0 [0, 61]","0 [0, 72]","1 [0, 84]","4 [0, 97]","7 [0, 112]","11 [0, 128]"
Yolo,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
